step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y
2,13,0.47035014629364014,-0.018979517742991447,2.9321913719177246,0.0,0.0,0,0,0,-1,0.008487507700920105,0.0016147077549248934,0.11989778280258179,0.001492724404670298,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,14,0.6233551502227783,-0.5040060877799988,-1.9430581331253052,0.0,0.0,0,0,0,-1,0.008485003374516964,0.0014444204280152917,0.12007056921720505,0.01243086252361536,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,15,0.6265275478363037,-0.8618150353431702,-0.8036191463470459,0.0,0.0,0,0,0,-1,0.008544709533452988,0.001344937365502119,0.12011035531759262,0.0078119863756000996,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,16,0.32636842131614685,0.5843583345413208,1.25520658493042,0.0,0.0,0,0,0,-1,0.007709336467087269,0.0023227203637361526,0.11996793746948242,0.0017161210998892784,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,17,0.1746581494808197,-0.7352651357650757,1.6497490406036377,0.0,0.0,0,0,0,-1,0.008635269477963448,0.0015334070194512606,0.11983131617307663,0.000262097135419026,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,18,0.32899051904678345,-0.8586279153823853,0.35118940472602844,0.0,0.0,0,0,0,-1,0.008706837892532349,0.0012464396422728896,0.1200467124581337,0.006593095604330301,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,19,0.9237059950828552,0.222220778465271,2.160888910293579,0.0,0.0,0,0,0,-1,0.008517248556017876,0.0013975263573229313,0.1200852245092392,0.008744756691157818,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,20,0.47312256693840027,-0.25601091980934143,1.9952895641326904,0.0,0.0,0,0,0,-1,0.008054555393755436,0.002007456263527274,0.11993798613548279,0.0016902568750083447,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,21,0.17104795575141907,0.8177177309989929,-2.60640287399292,0.0,0.0,0,0,0,-1,0.008656510151922703,0.0014235172420740128,0.11991997063159943,0.00045111283543519676,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,22,0.9224554300308228,0.8181700706481934,-2.5648224353790283,0.0,0.0,0,0,0,-1,0.007845072075724602,0.0018626984674483538,0.12029221653938293,0.009713147766888142,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
