step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
3,2,1.2178243,-0.84760445,2.0338857,0,0.11010774970054626,0.0,0.019892247393727303,0.0,0.031883250921964645,0.7161174416542053,0.378449410200119,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,3,0.4773795,-0.27346635,-1.3414065,0,0.005082859192043543,0.0,0.12069337069988251,0.004223759286105633,0.023222286254167557,0.4057283401489258,0.3618737459182739,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,4,0.017866125,-0.8635994,-2.8716471,0,0.02298818528652191,0.004994805436581373,0.08827390521764755,0.013743093237280846,0.005039758514612913,0.43904200196266174,0.2990266680717468,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,5,0.9191308,0.08511748,-1.9134113,0,0.0016941362991929054,0.0,0.12529076635837555,0.0030150890816003084,0.0185029748827219,0.4310952425003052,0.2866421937942505,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,6,-1.4803267,-0.7475827,-2.0236468,0,0.09664027392864227,0.0,0.0,0.033359725028276443,0.02036733366549015,0.7414016723632812,0.3282654285430908,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,7,-1.6318176,-0.73375934,2.382266,0,0.09340357780456543,0.0,0.0,0.03659641370177269,0.01581430248916149,0.7020944356918335,0.25851768255233765,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,8,-1.0367274,0.09936873,-3.1386771,0,0.02426752634346485,0.0,0.0,0.10573247820138931,0.014242058619856834,0.6933757662773132,0.3967612385749817,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,9,-1.1696086,0.35065407,1.0191553,1,0.0,0.08192410320043564,0.04807589575648308,0.0,0.03153261914849281,0.5604641437530518,0.38087236881256104,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,10,0.1827748,0.9270455,-1.0572481,0,0.0,0.0027656748425215483,0.1272343248128891,0.0,0.01990090310573578,0.39368727803230286,0.25321608781814575,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,11,-1.9284043,0.33288786,-1.9345113,0,0.013616769574582577,0.0007977109053172171,0.10124414414167404,0.014341370202600956,0.015657244250178337,0.35606396198272705,0.20540040731430054,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,12,0.7605357,-0.14649017,-2.7274199,0,0.0,0.0,0.1260414868593216,0.003958508372306824,0.020329497754573822,0.4244968593120575,0.28768274188041687,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,13,0.6130755,-0.8509333,2.4267063,0,0.000501306785736233,0.0043461318127810955,0.12325681746006012,0.001895730965770781,0.007541797589510679,0.42022520303726196,0.24254068732261658,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,14,-1.6238344,0.21328364,-1.1896297,0,0.07489118725061417,0.0,0.0,0.05510880425572395,0.018889913335442543,0.6808089017868042,0.23140579462051392,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,15,1.3844264,-0.14687967,-0.7418563,0,0.1256517767906189,0.0,0.0,0.004348222631961107,0.041366614401340485,0.8160309791564941,0.36609190702438354,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,16,-1.7878339,-0.49300036,2.6560328,0,0.012249394319951534,0.0,0.11286883056163788,0.004881772678345442,0.02277386002242565,0.39617499709129333,0.25245359539985657,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,17,1.2342604,0.44628298,-0.96335906,0,0.013386594131588936,0.0,0.11254822462797165,0.004065176472067833,0.019060611724853516,0.4121114909648895,0.2698255181312561,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
